ist	ziel	art	fundort	welle	bemerkung
/api/auth/me/speicher	/api/auth/me/storage	api-pfad	server/src/routes/auth.ts; src/konto/	1	§6.7
/api/auth/me/speicher	/api/auth/me/storage	api-pfad	server/src/routes/auth.ts; src/konto/konto.ts	1	§6.7
/api/auth/me/suchmaschinen	/api/auth/me/search-indexing	api-pfad	server/src/routes/auth.ts; src/konto/	1	§6.7
/api/auth/me/suchmaschinen	/api/auth/me/search-indexing	api-pfad	server/src/routes/auth.ts; src/konto/konto.ts	1	§6.7
/api/auth/me/titelbild	/api/auth/me/banner	api-pfad	server/src/routes/auth.ts; src/konto/	1	§6.7
/api/auth/me/titelbild	/api/auth/me/banner	api-pfad	server/src/routes/auth.ts; src/profil/profilbearbeiten.ts	1	§6.7; Profil-Titelbild ist banner, nicht cover (§6.1)
/api/auth/passwort-reset	/api/auth/password-reset	api-pfad	server/src/routes/auth.ts	1	§6.7; inkl. -anfordern→-request
/api/auth/passwort-reset	/api/auth/password-reset	api-pfad	server/src/routes/auth.ts; src/studio/api.ts	1	§6.7
/api/auth/passwort-reset-anfordern	/api/auth/password-reset-request	api-pfad	server/src/routes/auth.ts; src/studio/api.ts	1	§6.7
/api/auth/session-aus-token	/api/auth/session-from-token	api-pfad	server/src/routes/auth.ts; android ApiClient.kt	1	§6.7; App-Release am selben Tag
/api/auth/verifiziere	/api/auth/verify	api-pfad	server/src/routes/auth.ts	1	§6.7
/api/auth/verifiziere	/api/auth/verify	api-pfad	server/src/routes/auth.ts; src/studio/api.ts	1	§6.7
/api/auth/warteliste	/api/auth/waitlist	api-pfad	server/src/routes/warteliste.ts	1	§6.7; /austragen→/leave, /bestaetigen→/confirm
/api/auth/warteliste	/api/auth/waitlist	api-pfad	server/src/routes/warteliste.ts; src/studio/api.ts	1	§6.7
/api/auth/warteliste/austragen	/api/auth/waitlist/leave	api-pfad	server/src/routes/warteliste.ts; src/studio/api.ts	1	§6.7; Mail-Links laufen ueber das Fragment #warteliste-austragen, das bleibt (§3.4) — nur der API-Aufruf dahinter wechselt
/api/auth/warteliste/bestaetigen	/api/auth/waitlist/confirm	api-pfad	server/src/routes/warteliste.ts; src/studio/api.ts	1	§6.7
/api/benutzer/:id/avatar	/api/users/:id/avatar	api-pfad	server/src/routes/	1	§6.7; auch /profil→/profile, /titelbild→/banner
/api/benutzer/:id/avatar	/api/users/:id/avatar	api-pfad	server/src/routes/auth.ts	1	§6.7; nur datengetrieben (avatarUrl); URL steht in tour.json/Galerie, Neu-Render bzw. frische Auslieferung zieht mit
/api/benutzer/:id/profil	/api/users/:id/profile	api-pfad	server/src/routes/galerie.ts; src/profil/profil.ts	1	§6.7
/api/benutzer/:id/titelbild	/api/users/:id/banner	api-pfad	server/src/routes/auth.ts	1	§6.7; nur datengetrieben gerufen (titelbildUrl→bannerUrl aus Antworten)
/api/galerie	/api/gallery	api-pfad	server/src/routes/galerie.ts; src/galerie/	1	§6.7
/api/galerie	/api/gallery	api-pfad	server/src/routes/galerie.ts; src/galerie/galerie.ts	1	§6.7
/api/gesundheit	/api/health	api-pfad	server/src/app.ts	1	§6.7
/api/media/:tourId/:datei	/api/media/:tourId/:file	api-pfad	server/src/routes/	1	§6.7; nur Parametername
/api/newsletter/abmelden	/api/newsletter/unsubscribe	api-pfad	server/src/newsletter.ts bzw. Routen	1	§6.7
/api/newsletter/abmelden	/api/newsletter/unsubscribe	api-pfad	server/src/routes/newsletter.ts; src/konto/konto.ts	1	§6.7
/api/newsletter/ein-klick/:token	/api/newsletter/one-click/:token	api-pfad	server/src/routes/	1	§6.7; Mail-Link, Umstellung ohne laufenden Versand (Teil B nicht live)
/api/newsletter/ein-klick/:token	/api/newsletter/one-click/:token	api-pfad	server/src/routes/newsletter.ts; server/src/newsletter.ts (Mail-Kopfzeilen)	1	§6.7; RFC 8058, kein Client-Code; Umstellung solange kein Versand laeuft
/api/push/geraete	/api/push/devices	api-pfad	server/src/routes/; android ApiClient.kt	1	§6.7; alte App: 404 im Fenster
/api/push/geraete	/api/push/devices	api-pfad	server/src/routes/push.ts; android ApiClient.kt	1	§6.7; alte App: 404 im Deploy-Fenster
/api/rueckmeldung	/api/feedback	api-pfad	server/src/routes/rueckmeldungen.ts; src/feedbackformular.ts	1	§6.7
/api/tours/:id/audio/:datei	/api/tours/:id/audio/:file	api-pfad	server/src/routes/	1	§6.7; Parametername
/api/tours/:id/audio/:datei	/api/tours/:id/audio/:file	api-pfad	server/src/routes/media.ts; src/studio/api.ts	1	§6.7; nur Parametername, Segment audio neutral
/api/tours/:id/bibliothek-audio/:datei	/api/tours/:id/library-audio/:file	api-pfad	server/src/routes/	1	§6.7
/api/tours/:id/bibliothek-audio/:datei	/api/tours/:id/library-audio/:file	api-pfad	server/src/routes/bibliothek.ts; server/src/pipeline/enrich.ts (baut die URL ins tour.json)	1	§6.7; nur datengetrieben (Player); URL steht im tour.json, Neu-Render zieht mit
/api/tours/:id/medien	/api/tours/:id/media	api-pfad	server/src/routes/tours.ts; src/studio/nachreichen.ts; android	1	§6.7; POST (Sammlung); PUT/DELETE …/media/:mid bleiben; gehört zu Welle-1-Schritt 2 (Upload-Vertrag)
/api/tours/:id/medien	/api/tours/:id/media	api-pfad	server/src/routes/media.ts; src/studio/api.ts; android ApiClient.kt	1	§6.7; POST (Sammlung, deutsches Nachreichen); PUT/DELETE …/media/:mid bleiben; gehoert zum Upload-Vertrag (Welle-1-Schritt 2)
/api/tracker/imports/gesehen	/api/tracker/imports/seen	api-pfad	server/src/routes/tracker.ts	1	§6.7
abgelaufen	expired	api-wert	tracker verknuepfung status; einladungen zustand; Redirect #tracker=abgelaufen	1	folgt Grundstock/§4.2 fuer Status und Einladungs-Zustand; der Redirect #tracker=abgelaufen bleibt deutsch (§3.4)
aktiv	active	api-wert	tracker verknuepfung status: GET /api/tracker/providers	1	folgt Grundstock/§4.2
angelegt	created	api-wert	tours.status: GET /api/tours, GET /api/tours/:id, GET /api/tours/:id/editor	1	folgt db-wert created (Grundstock/§4.2)
aufstieg	ascend	api-wert	momente[].art: PUT /api/tours/:id/edits, GET /api/tours/:id	1	§6.9
benutzer	user	api-wert	audio[].quelle: PUT /api/tours/:id/edits	1	§6.9; Pfadsegment /api/benutzer/→/api/users/ und Response-Feld benutzer→user sind eigene Zeilen
bereit	ready	api-wert	tours.status: GET /api/tours, GET /api/tours/:id	1	folgt Grundstock/§4.2; haertester Wert, die App wartet darauf — App-Vergleich im selben Zug
bibliothek	library	api-wert	audio[].quelle: PUT /api/tours/:id/edits	1	§6.9
eingeladen	invited	api-wert	warteliste zustand: GET /api/admin/warteliste	1	folgt invited_at (Grundstock)
eingeloest	redeemed	api-wert	einladungen zustand: GET /api/admin/einladungen	1	folgt redeemed_at/redeemed_by (Grundstock)
email-wechsel	email-change	api-wert	mailvorlagen schluessel	1	folgt Grundstock email-change
erledigt	done	api-wert	rueckmeldungen status: GET/PATCH /api/admin/rueckmeldungen	1	folgt Grundstock/§4.2
fehler	failed	api-wert	protokoll stufe (Query und eintraege[].stufe); tours.status; export.status; tracker import status; Redirect #tracker=fehler	1	§4.2: als STATUS failed (tours/export/tracker); die protokoll-STUFE ist eine Log-Ebene→error; der Redirect #tracker=fehler bleibt deutsch (§3.4) — Fundort dreht die Zielform, derselbe Bezeichner an fuenf Stellen
fertig	done	api-wert	export.status; tracker import status	1	folgt Grundstock/§4.2
getrennt	disconnected	api-wert	tracker verknuepfung status (intern; providers zeigt status)	1	folgt Grundstock/§4.2
in_arbeit	in_progress	api-wert	rueckmeldungen status: GET/PATCH /api/admin/rueckmeldungen	1	folgt Grundstock/§4.2
innehalten	linger	api-wert	momente[].art: PUT /api/tours/:id/edits, GET /api/tours/:id	1	§6.9
laeuft	running	api-wert	export.status (GET /api/auth/me); tracker import status (GET /api/tracker/imports)	1	folgt Grundstock/§4.2; partieller Export-Index entsteht neu mit WHERE status='running'
manuell	manual	api-wert	placement: GET /api/tours/:id, GET /api/tours/:id/editor	1	§6.9; editmodell.ts SCHREIBT den Wert, editor.ts vergleicht und PLACEMENT_NAMEN schlaegt nach — alle drei im selben Zug
mittel	mid	api-wert	kamera[].preset: PUT /api/tours/:id/edits, GET /api/tours/:id	1	§6.9; nicht medium — das ist in §6.1 die einzelne Aufnahme
musik	music	api-wert	audio[].typ: PUT /api/tours/:id/edits	1	§6.9; sfx bleibt
nah	near	api-wert	kamera[].preset: PUT /api/tours/:id/edits, GET /api/tours/:id (camera[].preset)	1	§6.9; PRESETS-Schluessel in src/tour.ts im selben Commit (Naht §3.3)
nutzer	user	api-wert	rolle: Login/me/admin-Routen	1	folgt Grundstock/§4.2; Rollen-Werte user/admin (§6.2)
offen	open	api-wert	rueckmeldungen status (POST /api/rueckmeldung Default, GET/PATCH /api/admin/rueckmeldungen); einladungen zustand (GET /api/admin/einladungen)	1	folgt db-wert open (Grundstock/§4.2); gilt fuer beide Fundorte
sitzung	session	api-wert	geraete[].art und id-Praefix sitzung:… — GET /api/auth/me/geraete, DELETE /api/auth/me/geraete/:id	1	§6.2 Sitzung→session; auch ID-Praefix sitzung:→session:, app: bleibt
standard	default	api-wert	kamera[].preset: PUT /api/tours/:id/edits	1	§6.9; obwohl englisch lesbar entschieden default; steht nicht in PRESETS, main.ts faengt ihn ab (Naht §3.3)
uebersprungen	skipped	api-wert	tracker import status: GET /api/tracker/imports	1	folgt Grundstock/§4.2; bleibt bernstein in der Chronik, nicht rot
umkreisen	orbit	api-wert	momente[].art: PUT /api/tours/:id/edits, GET /api/tours/:id (moments[].art)	1	§6.9
unbestaetigt	unconfirmed	api-wert	warteliste zustand: GET /api/admin/warteliste	1	mechanisch zu confirmed (Grundstock confirmed_at)
unplatziert	unplaced	api-wert	placement: GET /api/tours/:id, GET /api/tours/:id/editor	1	§6.9; gps bleibt
verarbeitung	processing	api-wert	tours.status: POST /api/tours/:id/finalize, POST /api/tours/:id/reprocess, PUT /api/tours/:id/edits, GET /api/tours	1	folgt Grundstock/§4.2; laeuft durch API und App-Vergleiche
verifikation	verification	api-wert	mailvorlagen schluessel (Pfadwert /api/admin/mailvorlagen/verifikation)	1	folgt mail_templates-Schluessel verification (Grundstock); Pfadwert wandert mit /api/admin/mail-templates/
warnung	warning	api-wert	protokoll stufe: GET /api/admin/protokoll	1	VORSCHLAG: warning; Log-Ebene neben error
warteliste	waitlist	api-wert	mailvorlagen schluessel	1	folgt Grundstock waitlist; auch warteliste-einladung→waitlist-invitation
wartend	pending	api-wert	warteliste zustand: GET /api/admin/warteliste	1	wie tracker-Status wartet→pending (Grundstock); nicht waiting, ein Wort je Begriff
wartet	pending	api-wert	tracker import status: GET /api/tracker/imports	1	folgt Grundstock/§4.2; Pfad /imports/pending heisst schon so
weit	far	api-wert	kamera[].preset: PUT /api/tours/:id/edits, GET /api/tours/:id	1	§6.9
zeit	time	api-wert	placement: GET /api/tours/:id (media[].placement), GET /api/tours/:id/editor (medien[].placement)	1	§6.9: placement gps/time/manual/unplaced; Typ ist blankes string, der Compiler sieht nichts
abgelaufen	expired	api-wert-vergleich	android/app/src/main/java/app/maptale/upload/ApiClient.kt	1	Grundstock (tracker_verknuepfungen.status abgelaufen→expired); TrackerProvider.expired vergleicht darauf.
bereit	ready	api-wert-vergleich	android/app/src/main/java/app/maptale/ui/TourenScreen.kt	1	Grundstock §4.2; Tour-Status vom Server.
bereit	ready	api-wert-vergleich	android/app/src/main/java/app/maptale/ui/ImportViewModel.kt	1	Grundstock §4.2; Poll-Ende des GPX-Imports.
bereit	ready	api-wert-vergleich	android/app/src/main/java/app/maptale/upload/UploadWorker.kt	1	Grundstock §4.2; auch ServerTour.spielbar/playable vergleicht darauf.
fehler	failed	api-wert-vergleich	android/app/src/main/java/app/maptale/ui/TourenScreen.kt	1	Grundstock §4.2; Statuswert failed, nicht error (§6.1).
fehler	failed	api-wert-vergleich	android/app/src/main/java/app/maptale/ui/ImportViewModel.kt	1	Grundstock §4.2; Poll-Abbruch mit Nutzer-Meldung.
fehler	failed	api-wert-vergleich	android/app/src/main/java/app/maptale/upload/UploadWorker.kt	1	Grundstock §4.2.
fertig	done	api-wert-vergleich	android/app/src/main/java/app/maptale/tracker/TrackerModell.kt	1	Grundstock (tracker_importe.status fertig→done); auch Importmeldung.kt und FotoNachzugWorker.kt.
import-fertig	import-finished	api-wert-vergleich	android/app/src/main/java/app/maptale/push/MaptalePushDienst.kt	1	Grundstock (dort VORSCHLAG); Naht §3.3, Server und App in einem Deploy-Fenster, sonst kommt keine Import-Meldung mehr an.
verarbeitung	processing	api-wert-vergleich	android/app/src/main/java/app/maptale/upload/UploadWorker.kt	1	Grundstock §4.2; 409-Auflösung und Poll.
MODI	TRAVEL_MODES	bezeichner	server/src/schema/upload.ts (Quelle); src/studio/	1	§5-Tabelle; Single Source der Modi-Liste, Werte walk/bike/… bleiben
STUDIO_PEGEL	STUDIO_GAIN	bezeichner	server/src/schema/edits.ts; Studio-Spiegel	1	§6.1; Server-Spiegel ohne Import (Naht §3.3)
verarbeite	processTour	bezeichner	server/src/routes/tours.ts	1	§6.4; heute nicht exportiert, Start-Migration braucht sie (Naht §3.3): Welle 1 exportiert oder verschiebt sie
anreicherung.json	enrichment.json	datei	Datenordner je Tour; server/src/pipeline/anreicherung.ts	1	auf Platte in Welle 1 per Start-Migration, das Modul erst Welle 2 (§6.6)
einladung_pflicht	invitation_required	db-schluesselzeile	einstellungen.schluessel; server/src/db.ts	1	VORSCHLAG (Zielform nicht in §6); ohne UPDATE fällt der Schalter still auf die Vorgabe (§4.2)
einladung_pflicht	invitation_required	db-schluesselzeile	einstellungen.schluessel; server/src/auth/einladungen.ts	1	aus Grundstock; ohne UPDATE fällt der Schalter still auf die Vorgabe (§4.2)
email-wechsel	email-change	db-schluesselzeile	mailvorlagen.schluessel; server/src/mailvorlagen.ts	1	VORSCHLAG; §4.2
verifikation	verification	db-schluesselzeile	mailvorlagen.schluessel; server/src/mailvorlagen.ts	1	VORSCHLAG; ohne UPDATE greift die Admin-Abweichung nicht mehr (§4.2)
warteliste	waitlist	db-schluesselzeile	mailvorlagen.schluessel; server/src/mailvorlagen.ts	1	VORSCHLAG; §4.2
warteliste_offen	waitlist_open	db-schluesselzeile	einstellungen.schluessel; server/src/db.ts	1	VORSCHLAG; §4.2
warteliste_offen	waitlist_open	db-schluesselzeile	einstellungen.schluessel; server/src/auth/warteliste.ts	1	aus Grundstock; §4.2
warteliste-einladung	waitlist-invitation	db-schluesselzeile	mailvorlagen.schluessel; server/src/mailvorlagen.ts	1	VORSCHLAG; §4.2
ablauf	expires_at	db-spalte	einladungen; server/src/db.ts	1	§6.8
anbieter	provider	db-spalte	tracker_importe; server/src/db.ts	1	§6.8
anbieter	provider	db-spalte	tracker_verknuepfungen; server/src/db.ts	1	§6.8
angefordert_am	requested_at	db-spalte	exporte; server/src/db.ts	1	§6.8
angelegt_am	created_at	db-spalte	push_geraete; server/src/db.ts	1	§6.8
angelegt_am	created_at	db-spalte	rueckmeldungen; server/src/db.ts	1	§6.8
anzeigename	display_name	db-spalte	users; server/src/db.ts	1	§6.8
benutzer_id	user_id	db-spalte	exporte; server/src/db.ts	1	§6.8
benutzer_id	user_id	db-spalte	newsletter_einwilligungen; server/src/db.ts	1	§6.8
benutzer_id	user_id	db-spalte	push_geraete; server/src/db.ts	1	§6.8
benutzer_id	user_id	db-spalte	rueckmeldungen; server/src/db.ts	1	§6.8
benutzer_id	user_id	db-spalte	tracker_importe; server/src/db.ts	1	§6.8
benutzer_id	user_id	db-spalte	tracker_verknuepfungen; server/src/db.ts	1	§6.8
bestaetigt_am	confirmed_at	db-spalte	warteliste; server/src/db.ts	1	§6.8
bestaetigt_ip	confirmed_ip	db-spalte	warteliste; server/src/db.ts	1	§6.8
betreff	subject	db-spalte	mailvorlagen; server/src/db.ts	1	§6.8; Inhalt bleibt deutsch
dachzeile	kicker	db-spalte	tours; server/src/db.ts	1	§6.8
dateien	file_count	db-spalte	exporte; server/src/db.ts	1	§6.8; Zähler heißt …_count (§6.0)
eingeladen_am	invited_at	db-spalte	warteliste; server/src/db.ts	1	§6.8
eingeladen_code	invited_code	db-spalte	warteliste; server/src/db.ts	1	§6.8
eingeloest_am	redeemed_at	db-spalte	einladungen; server/src/db.ts	1	§6.8
eingeloest_von	redeemed_by	db-spalte	einladungen; server/src/db.ts	1	§6.8
eingetragen_am	joined_at	db-spalte	warteliste; server/src/db.ts	1	§6.8
eingetragen_ip	joined_ip	db-spalte	warteliste; server/src/db.ts	1	§6.8
erstellt_am	created_at	db-spalte	einladungen; server/src/db.ts	1	§6.8
erstellt_von	created_by	db-spalte	einladungen; server/src/db.ts	1	§6.8
externe_id	external_id	db-spalte	tracker_importe; server/src/db.ts	1	§6.8
externer_nutzer	external_user	db-spalte	tracker_verknuepfungen; server/src/db.ts	1	§6.8
fehler	error	db-spalte	tours; server/src/db.ts	1	§6.8
fehler	error	db-spalte	exporte; server/src/db.ts	1	§6.8
fehler	error	db-spalte	tracker_importe; server/src/db.ts	1	§6.8
fertig_am	finished_at	db-spalte	exporte; server/src/db.ts	1	§6.8
fertig_am	finished_at	db-spalte	tracker_importe; server/src/db.ts	1	§6.8
finale_ziel	finale_target	db-spalte	tours; server/src/db.ts	1	§6.8
frei_ab	free_from	db-spalte	handles_reserviert; server/src/db.ts	1	§6.8
fuss	footer	db-spalte	mailvorlagen; server/src/db.ts	1	§6.8
geaendert_am	updated_at	db-spalte	mailvorlagen; server/src/db.ts	1	§6.8
geaendert_am	updated_at	db-spalte	rueckmeldungen; server/src/db.ts	1	§6.8
geaendert_von	updated_by	db-spalte	mailvorlagen; server/src/db.ts	1	§6.8
gemeldet_am	reported_at	db-spalte	tracker_importe; server/src/db.ts	1	§6.8
gesehen_am	seen_at	db-spalte	tracker_importe; server/src/db.ts	1	§6.8
handle_geaendert_am	handle_changed_at	db-spalte	users; server/src/db.ts	1	§6.8
ip_praefix	ip_prefix	db-spalte	sessions; server/src/db.ts	1	§6.8
knopf	button	db-spalte	mailvorlagen; server/src/db.ts	1	§6.8
kontext	context	db-spalte	rueckmeldungen; server/src/db.ts	1	§6.8; JSON-Blob, innere Schlüssel gehen per UPDATE mit (§4.2)
laeuft_ab_am	expires_at	db-spalte	exporte; server/src/db.ts	1	§6.8
laeuft_ab_am	expires_at	db-spalte	tracker_verknuepfungen; server/src/db.ts	1	§6.8
letzter_fehler	last_error	db-spalte	tracker_verknuepfungen; server/src/db.ts	1	§6.8
notiz	note	db-spalte	einladungen; server/src/db.ts	1	§6.8
notiz	note	db-spalte	rueckmeldungen; server/src/db.ts	1	§6.8
notiz	note	db-spalte	warteliste; server/src/db.ts	1	§6.8
nutzlast	payload	db-spalte	mail_tokens; server/src/db.ts	1	§6.8; Inhalt ist roher String, kein JSON (§4.2)
ort	location	db-spalte	users; server/src/db.ts	1	§6.8
plattform	platform	db-spalte	push_geraete; server/src/db.ts	1	§6.8
profil_sichtbarkeit	profile_visibility	db-spalte	users; server/src/db.ts	1	§6.8
quelle	source	db-spalte	newsletter_einwilligungen; server/src/db.ts	1	§6.8; Werte wandern (§4.2)
quelle	source	db-spalte	rueckmeldungen; server/src/db.ts	1	§6.8; Werte web/app bleiben
rolle	role	db-spalte	users; server/src/db.ts	1	§6.8
schluessel	key	db-spalte	einstellungen; server/src/db.ts	1	§6.8; Zeilenwerte gehen mit (db-schluesselzeile)
schluessel	key	db-spalte	mailvorlagen; server/src/db.ts	1	§6.8; Zeilenwerte gehen mit (db-schluesselzeile)
suchmaschinen	search_indexing	db-spalte	users; server/src/db.ts	1	§6.8
text	body	db-spalte	mailvorlagen; server/src/db.ts	1	§6.8
